,rr_max,rr_min,hr_max,hr_min,PVC,PAC,AF,Normal
1,0.92,0.228,263.1578947368421,65.21739130434783,1,13,22,39
2,0.896,0.248,241.93548387096774,66.96428571428571,3,16,2,49
3,0.98,0.2,300.0,61.224489795918366,1,14,12,44
4,1.088,0.812,73.89162561576354,55.147058823529406,0,1,0,59
5,1.116,0.888,67.56756756756756,53.76344086021505,0,0,0,54
6,1.108,0.88,68.18181818181819,54.15162454873646,0,0,0,54
7,1.148,0.868,69.12442396313364,52.264808362369344,0,1,0,54
8,1.08,0.844,71.09004739336493,55.55555555555555,0,1,0,55
9,1.116,0.912,65.78947368421052,53.76344086021505,0,0,0,56
10,1.056,0.908,66.07929515418502,56.81818181818181,0,0,0,56
11,1.012,0.888,67.56756756756756,59.28853754940712,0,0,0,58
12,1.02,0.812,73.89162561576354,58.8235294117647,0,2,0,58
13,1.02,0.816,73.52941176470588,58.8235294117647,0,1,0,59
14,1.064,0.336,178.57142857142856,56.39097744360902,3,11,7,44
15,1.14,0.352,170.45454545454547,52.631578947368425,3,26,7,39
16,0.88,0.228,263.1578947368421,68.18181818181819,0,23,19,37
17,0.876,0.208,288.46153846153845,68.4931506849315,1,39,10,26
18,0.892,0.62,96.7741935483871,67.26457399103138,0,37,0,34
19,0.84,0.352,170.45454545454547,71.42857142857143,0,54,6,14
20,0.924,0.724,82.87292817679558,64.93506493506493,0,26,0,42
21,0.972,0.26,230.76923076923077,61.7283950617284,0,33,7,35
22,0.892,0.684,87.71929824561403,67.26457399103138,0,36,0,33
23,0.888,0.672,89.28571428571428,67.56756756756756,0,26,0,43
24,0.94,0.148,405.4054054054054,63.829787234042556,1,14,15,42
25,0.856,0.272,220.58823529411762,70.09345794392523,0,30,9,37
26,0.996,0.236,254.23728813559325,60.24096385542169,5,14,9,41
27,0.912,0.684,87.71929824561403,65.78947368421052,0,16,0,54
28,0.956,0.78,76.92307692307692,62.761506276150634,0,5,0,59
29,1.0,0.292,205.47945205479454,60.0,2,8,5,53
30,0.944,0.244,245.9016393442623,63.55932203389831,2,41,13,26
31,0.876,0.62,96.7741935483871,68.4931506849315,0,31,0,43
32,0.868,0.612,98.03921568627452,69.12442396313364,1,32,0,43
33,0.832,0.644,93.16770186335404,72.11538461538461,0,43,0,34
34,0.804,0.636,94.33962264150944,74.62686567164178,0,45,0,33
35,0.772,0.624,96.15384615384616,77.720207253886,0,56,0,24
36,0.792,0.612,98.03921568627452,75.75757575757575,0,51,1,27
37,0.788,0.644,93.16770186335404,76.14213197969544,0,51,0,28
38,0.844,0.628,95.54140127388536,71.09004739336493,0,42,0,35
39,0.96,0.684,87.71929824561403,62.5,0,15,0,54
40,0.844,0.656,91.46341463414633,71.09004739336493,0,68,0,8
41,0.804,0.6,100.0,74.62686567164178,0,55,2,22
42,0.836,0.644,93.16770186335404,71.77033492822967,1,43,0,34
43,0.848,0.408,147.05882352941177,70.75471698113208,2,29,32,21
44,1.412,0.568,105.63380281690142,42.492917847025495,1,46,29,9
45,0.804,0.592,101.35135135135135,74.62686567164178,1,37,6,37
46,0.804,0.62,96.7741935483871,74.62686567164178,0,54,5,22
47,0.72,0.58,103.44827586206897,83.33333333333334,0,77,8,1
48,0.952,0.08,750.0,63.02521008403362,2,29,9,41
49,0.852,0.272,220.58823529411762,70.4225352112676,0,44,7,27
50,1.056,0.736,81.52173913043478,56.81818181818181,1,15,0,52
51,0.904,0.764,78.53403141361257,66.3716814159292,0,9,0,57
52,0.884,0.78,76.92307692307692,67.87330316742081,0,23,0,43
53,0.924,0.788,76.14213197969544,64.93506493506493,0,8,0,56
54,0.9,0.756,79.36507936507937,66.66666666666667,0,15,0,53
55,0.932,0.808,74.25742574257426,64.37768240343347,0,7,0,58
56,0.956,0.78,76.92307692307692,62.761506276150634,0,3,0,61
57,0.992,0.824,72.81553398058253,60.483870967741936,0,2,0,60
58,0.984,0.696,86.20689655172414,60.97560975609756,0,28,0,40
59,0.968,0.568,105.63380281690142,61.98347107438017,0,26,9,40
60,0.892,0.54,111.1111111111111,67.26457399103138,0,61,9,16
61,0.724,0.596,100.67114093959732,82.87292817679558,0,82,0,1
62,0.776,0.64,93.75,77.31958762886597,0,74,0,7
63,0.736,0.652,92.02453987730061,81.52173913043478,0,77,0,3
64,0.76,0.64,93.75,78.94736842105263,0,73,0,6
65,1.08,0.272,220.58823529411762,55.55555555555555,0,50,6,21
66,0.892,0.592,101.35135135135135,67.26457399103138,1,61,4,17
67,0.752,0.632,94.9367088607595,79.7872340425532,0,79,0,4
68,0.728,0.676,88.75739644970413,82.41758241758242,0,80,0,0
69,0.78,0.492,121.95121951219512,76.92307692307692,0,63,3,12
70,1.028,0.66,90.9090909090909,58.36575875486381,0,25,0,45
71,0.82,0.736,81.52173913043478,73.17073170731707,0,57,0,15
72,0.924,0.248,241.93548387096774,64.93506493506493,0,42,9,25
73,0.808,0.704,85.22727272727273,74.25742574257426,0,69,0,5
74,0.832,0.632,94.9367088607595,72.11538461538461,0,59,0,15
75,0.9,0.696,86.20689655172414,66.66666666666667,0,25,0,46
76,0.852,0.652,92.02453987730061,70.4225352112676,0,36,0,34
77,0.848,0.552,108.69565217391303,70.75471698113208,0,46,2,23
78,0.852,0.548,109.4890510948905,70.4225352112676,1,20,7,46
79,0.796,0.62,96.7741935483871,75.37688442211055,0,69,0,10
80,0.888,0.68,88.23529411764706,67.56756756756756,0,35,0,39
81,0.864,0.7,85.71428571428572,69.44444444444444,0,36,0,36
82,0.852,0.68,88.23529411764706,70.4225352112676,0,34,0,38
83,0.844,0.556,107.91366906474819,71.09004739336493,0,28,23,28
84,0.756,0.528,113.63636363636363,79.36507936507937,0,31,38,19
85,0.84,0.668,89.82035928143712,71.42857142857143,0,41,0,31
86,0.932,0.68,88.23529411764706,64.37768240343347,1,37,0,34
87,0.844,0.688,87.2093023255814,71.09004739336493,1,20,0,52
88,0.884,0.668,89.82035928143712,67.87330316742081,0,25,0,48
89,0.848,0.628,95.54140127388536,70.75471698113208,0,28,0,46
90,0.832,0.672,89.28571428571428,72.11538461538461,0,49,0,25
91,0.824,0.74,81.08108108108108,72.81553398058253,0,60,0,12
92,0.836,0.676,88.75739644970413,71.77033492822967,0,34,0,41
93,0.824,0.656,91.46341463414633,72.81553398058253,0,31,0,44
94,0.816,0.672,89.28571428571428,73.52941176470588,0,34,0,41
95,0.812,0.704,85.22727272727273,73.89162561576354,0,72,0,4
96,0.812,0.668,89.82035928143712,73.89162561576354,0,62,0,14
97,0.82,0.28,214.28571428571428,73.17073170731707,0,38,11,31
98,0.832,0.624,96.15384615384616,72.11538461538461,0,38,1,37
99,0.728,0.536,111.94029850746269,82.41758241758242,0,18,65,7
100,0.736,0.544,110.29411764705881,81.52173913043478,0,46,42,2
101,0.696,0.536,111.94029850746269,86.20689655172414,0,43,47,1
102,0.704,0.516,116.27906976744185,85.22727272727273,0,16,78,0
103,0.696,0.528,113.63636363636363,86.20689655172414,0,15,78,0
104,0.7,0.54,111.1111111111111,85.71428571428572,0,72,19,1
105,0.992,0.596,100.67114093959732,60.483870967741936,0,63,12,9
106,0.776,0.584,102.73972602739727,77.31958762886597,0,54,19,12
107,0.78,0.516,116.27906976744185,76.92307692307692,0,28,45,16
108,0.684,0.444,135.13513513513513,87.71929824561403,0,57,39,0
109,0.756,0.628,95.54140127388536,79.36507936507937,0,81,0,3
110,0.712,0.172,348.8372093023256,84.26966292134831,0,78,7,2
111,0.784,0.596,100.67114093959732,76.53061224489795,0,62,4,16
112,0.824,0.572,104.89510489510491,72.81553398058253,0,40,24,20
113,0.716,0.556,107.91366906474819,83.79888268156425,0,47,38,4
114,0.756,0.572,104.89510489510491,79.36507936507937,1,54,20,11
115,0.812,0.58,103.44827586206897,73.89162561576354,0,55,6,21
116,0.744,0.628,95.54140127388536,80.64516129032258,0,80,0,3
117,0.744,0.58,103.44827586206897,80.64516129032258,0,74,4,7
118,0.756,0.604,99.33774834437087,79.36507936507937,0,63,7,14
119,0.784,0.552,108.69565217391303,76.53061224489795,1,48,14,22
120,0.74,0.568,105.63380281690142,81.08108108108108,0,62,14,9
121,0.792,0.568,105.63380281690142,75.75757575757575,0,45,22,19
122,0.724,0.556,107.91366906474819,82.87292817679558,0,33,50,5
123,0.764,0.556,107.91366906474819,78.53403141361257,0,61,19,8
124,0.74,0.58,103.44827586206897,81.08108108108108,0,77,5,4
125,0.784,0.608,98.6842105263158,76.53061224489795,0,78,2,4
126,0.732,0.58,103.44827586206897,81.9672131147541,0,76,5,4
127,0.704,0.568,105.63380281690142,85.22727272727273,0,54,35,2
128,0.76,0.6,100.0,78.94736842105263,0,78,2,5
129,0.804,0.492,121.95121951219512,74.62686567164178,1,60,19,5
130,0.9,0.54,111.1111111111111,66.66666666666667,0,46,22,15
131,0.832,0.548,109.4890510948905,72.11538461538461,0,59,5,18
132,0.772,0.632,94.9367088607595,77.720207253886,0,60,0,20
133,0.812,0.66,90.9090909090909,73.89162561576354,0,53,0,23
134,0.808,0.672,89.28571428571428,74.25742574257426,0,51,0,23
135,0.828,0.712,84.26966292134831,72.46376811594203,0,55,0,18
136,0.804,0.676,88.75739644970413,74.62686567164178,0,60,0,14
137,0.824,0.668,89.82035928143712,72.81553398058253,0,35,0,40
138,0.832,0.676,88.75739644970413,72.11538461538461,0,31,0,43
139,0.824,0.672,89.28571428571428,72.81553398058253,0,36,0,38
140,0.888,0.648,92.5925925925926,67.56756756756756,2,33,0,38
141,0.868,0.68,88.23529411764706,69.12442396313364,0,29,0,43
142,0.836,0.688,87.2093023255814,71.77033492822967,0,46,0,26
143,0.848,0.708,84.74576271186442,70.75471698113208,0,42,0,30
144,0.868,0.636,94.33962264150944,69.12442396313364,0,37,0,35
145,0.848,0.696,86.20689655172414,70.75471698113208,0,26,0,46
146,0.884,0.632,94.9367088607595,67.87330316742081,0,28,0,42
147,0.928,0.656,91.46341463414633,64.6551724137931,0,16,0,55
148,0.896,0.7,85.71428571428572,66.96428571428571,1,31,0,39
149,0.86,0.692,86.70520231213874,69.76744186046511,0,26,0,45
150,0.868,0.652,92.02453987730061,69.12442396313364,0,29,0,43
151,0.876,0.72,83.33333333333334,68.4931506849315,0,30,0,41
152,0.868,0.656,91.46341463414633,69.12442396313364,1,28,0,43
153,0.864,0.724,82.87292817679558,69.44444444444444,0,25,0,45
154,0.892,0.68,88.23529411764706,67.26457399103138,1,17,0,53
155,0.876,0.7,85.71428571428572,68.4931506849315,0,22,0,50
156,0.872,0.688,87.2093023255814,68.80733944954129,0,32,0,39
157,0.864,0.7,85.71428571428572,69.44444444444444,2,17,0,51
158,0.872,0.696,86.20689655172414,68.80733944954129,0,17,0,54
159,0.88,0.672,89.28571428571428,68.18181818181819,1,22,0,49
160,0.872,0.708,84.74576271186442,68.80733944954129,1,26,0,45
161,0.892,0.72,83.33333333333334,67.26457399103138,1,28,0,40
162,0.868,0.708,84.74576271186442,69.12442396313364,0,28,0,41
163,0.932,0.66,90.9090909090909,64.37768240343347,1,15,0,53
164,0.924,0.704,85.22727272727273,64.93506493506493,1,14,0,53
165,0.956,0.732,81.9672131147541,62.761506276150634,0,14,0,54
166,0.892,0.7,85.71428571428572,67.26457399103138,0,21,0,49
167,0.884,0.764,78.53403141361257,67.87330316742081,0,18,0,50
168,0.924,0.7,85.71428571428572,64.93506493506493,1,13,0,54
169,0.86,0.716,83.79888268156425,69.76744186046511,0,29,0,41
170,0.872,0.696,86.20689655172414,68.80733944954129,1,14,0,55
171,0.964,0.68,88.23529411764706,62.24066390041494,1,18,0,51
172,0.896,0.716,83.79888268156425,66.96428571428571,2,24,0,45
173,0.888,0.696,86.20689655172414,67.56756756756756,0,13,0,57
