,rr_max,rr_min,hr_max,hr_min,PVC,PAC,AF,Normal
1,0.996,0.696,86.20689655172414,60.24096385542169,0,19,0,46
2,0.988,0.712,84.26966292134831,60.72874493927126,0,25,0,43
3,1.044,0.848,70.75471698113208,57.47126436781609,0,0,0,58
4,1.016,0.712,84.26966292134831,59.05511811023622,0,42,0,28
5,0.912,0.676,88.75739644970413,65.78947368421052,0,34,0,36
6,0.96,0.788,76.14213197969544,62.5,0,9,0,54
7,1.0,0.876,68.4931506849315,60.0,0,0,0,59
8,1.024,0.86,69.76744186046511,58.59375,0,0,0,57
9,1.044,0.856,70.09345794392523,57.47126436781609,0,0,0,57
10,1.036,0.952,63.02521008403362,57.915057915057915,0,0,0,55
11,1.04,0.94,63.829787234042556,57.69230769230769,0,0,0,55
12,1.048,0.9,66.66666666666667,57.25190839694656,0,0,0,56
13,1.012,0.82,73.17073170731707,59.28853754940712,0,0,0,58
14,1.044,0.9,66.66666666666667,57.47126436781609,0,0,0,55
15,1.06,0.912,65.78947368421052,56.60377358490566,0,0,0,55
16,1.032,0.884,67.87330316742081,58.13953488372093,0,0,0,56
17,1.06,0.948,63.29113924050633,56.60377358490566,0,0,0,55
18,1.064,0.824,72.81553398058253,56.39097744360902,0,0,0,56
19,1.044,0.904,66.3716814159292,57.47126436781609,0,0,0,56
20,1.04,0.8,75.0,57.69230769230769,0,0,0,57
21,1.052,0.888,67.56756756756756,57.03422053231939,0,0,0,55
22,1.056,0.76,78.94736842105263,56.81818181818181,0,19,0,43
23,1.296,0.852,70.4225352112676,46.2962962962963,1,3,2,52
24,1.064,0.74,81.08108108108108,56.39097744360902,0,8,0,55
25,1.072,0.864,69.44444444444444,55.97014925373134,0,1,0,54
26,1.1,0.952,63.02521008403362,54.54545454545454,0,0,0,54
27,1.048,0.804,74.62686567164178,57.25190839694656,0,1,0,58
28,1.032,0.848,70.75471698113208,58.13953488372093,0,0,0,57
29,1.032,0.776,77.31958762886597,58.13953488372093,0,4,0,55
30,1.08,0.804,74.62686567164178,55.55555555555555,0,1,0,56
31,1.048,0.872,68.80733944954129,57.25190839694656,0,0,0,56
32,1.084,0.796,75.37688442211055,55.35055350553505,0,3,0,54
33,1.02,0.928,64.6551724137931,58.8235294117647,0,0,0,56
34,1.04,0.856,70.09345794392523,57.69230769230769,0,0,0,57
35,1.068,0.908,66.07929515418502,56.17977528089887,0,0,0,55
36,1.072,0.912,65.78947368421052,55.97014925373134,0,0,0,56
37,1.036,0.896,66.96428571428571,57.915057915057915,0,0,0,56
38,1.076,0.82,73.17073170731707,55.762081784386616,0,0,0,59
39,1.044,0.936,64.1025641025641,57.47126436781609,0,0,0,54
40,1.06,0.972,61.7283950617284,56.60377358490566,0,0,0,53
41,1.08,0.9,66.66666666666667,55.55555555555555,0,0,0,54
42,1.08,0.884,67.87330316742081,55.55555555555555,0,0,0,55
43,1.084,0.844,71.09004739336493,55.35055350553505,0,0,0,56
44,1.072,0.972,61.7283950617284,55.97014925373134,0,0,0,53
45,1.064,0.964,62.24066390041494,56.39097744360902,0,0,0,55
46,1.084,0.892,67.26457399103138,55.35055350553505,0,0,0,53
47,1.084,0.844,71.09004739336493,55.35055350553505,0,0,0,54
48,1.092,0.896,66.96428571428571,54.94505494505494,0,0,0,55
49,1.08,0.86,69.76744186046511,55.55555555555555,0,0,0,54
50,1.128,1.0,60.0,53.19148936170213,0,0,0,52
51,1.144,0.992,60.483870967741936,52.447552447552454,0,0,0,52
52,1.124,0.98,61.224489795918366,53.380782918149464,0,0,0,51
53,1.14,0.988,60.72874493927126,52.631578947368425,0,0,0,51
54,1.152,0.964,62.24066390041494,52.083333333333336,0,0,0,51
55,1.152,0.828,72.46376811594203,52.083333333333336,0,0,0,53
56,1.152,0.828,72.46376811594203,52.083333333333336,0,0,0,51
57,1.088,0.86,69.76744186046511,55.147058823529406,0,0,0,57
58,1.056,0.868,69.12442396313364,56.81818181818181,0,0,0,56
59,1.04,0.86,69.76744186046511,57.69230769230769,0,0,0,58
60,1.032,0.86,69.76744186046511,58.13953488372093,0,0,0,57
61,1.084,0.76,78.94736842105263,55.35055350553505,0,5,0,54
62,1.064,0.856,70.09345794392523,56.39097744360902,0,0,0,57
63,1.06,0.916,65.50218340611353,56.60377358490566,0,0,0,55
64,1.076,0.84,71.42857142857143,55.762081784386616,0,0,0,57
65,1.076,0.912,65.78947368421052,55.762081784386616,0,0,0,55
66,1.064,0.884,67.87330316742081,56.39097744360902,0,0,0,56
67,1.012,0.84,71.42857142857143,59.28853754940712,0,0,0,58
68,1.036,0.856,70.09345794392523,57.915057915057915,0,0,0,56
69,1.032,0.868,69.12442396313364,58.13953488372093,0,0,0,56
70,1.04,0.884,67.87330316742081,57.69230769230769,0,0,0,56
71,1.052,0.884,67.87330316742081,57.03422053231939,0,0,0,55
72,1.084,0.78,76.92307692307692,55.35055350553505,0,2,0,59
73,1.104,0.78,76.92307692307692,54.347826086956516,0,0,0,55
74,1.044,0.772,77.720207253886,57.47126436781609,0,8,0,51
75,1.06,0.872,68.80733944954129,56.60377358490566,0,0,0,55
76,1.052,0.888,67.56756756756756,57.03422053231939,0,0,0,55
77,1.068,0.808,74.25742574257426,56.17977528089887,0,0,0,57
78,1.032,0.744,80.64516129032258,58.13953488372093,0,12,0,50
79,1.032,0.816,73.52941176470588,58.13953488372093,0,0,0,58
80,1.04,0.84,71.42857142857143,57.69230769230769,0,0,0,60
81,1.036,0.844,71.09004739336493,57.915057915057915,0,0,0,57
82,1.084,0.94,63.829787234042556,55.35055350553505,0,0,0,55
83,1.068,0.828,72.46376811594203,56.17977528089887,0,1,0,56
84,1.052,0.864,69.44444444444444,57.03422053231939,0,0,0,57
85,1.052,0.844,71.09004739336493,57.03422053231939,0,0,0,56
86,1.1,0.864,69.44444444444444,54.54545454545454,0,0,0,55
87,1.088,0.856,70.09345794392523,55.147058823529406,0,0,0,56
88,1.06,0.948,63.29113924050633,56.60377358490566,0,0,0,54
89,1.096,0.86,69.76744186046511,54.74452554744525,0,0,0,54
90,1.1,0.92,65.21739130434783,54.54545454545454,0,0,0,53
91,1.068,0.908,66.07929515418502,56.17977528089887,0,0,0,54
92,1.056,0.884,67.87330316742081,56.81818181818181,0,0,0,57
93,1.028,0.864,69.44444444444444,58.36575875486381,0,0,0,56
94,1.056,0.892,67.26457399103138,56.81818181818181,0,0,0,56
95,1.076,0.82,73.17073170731707,55.762081784386616,0,0,0,56
96,1.06,0.896,66.96428571428571,56.60377358490566,0,0,0,55
97,1.052,0.824,72.81553398058253,57.03422053231939,0,0,0,58
98,1.064,0.836,71.77033492822967,56.39097744360902,0,0,0,57
99,1.032,0.796,75.37688442211055,58.13953488372093,0,1,0,56
100,1.032,0.86,69.76744186046511,58.13953488372093,0,0,0,59
101,1.052,0.824,72.81553398058253,57.03422053231939,0,1,0,58
102,1.036,0.92,65.21739130434783,57.915057915057915,0,0,0,56
103,1.016,0.808,74.25742574257426,59.05511811023622,0,0,0,60
104,1.008,0.88,68.18181818181819,59.523809523809526,0,0,0,58
105,1.016,0.812,73.89162561576354,59.05511811023622,0,0,0,60
106,1.016,0.836,71.77033492822967,59.05511811023622,0,0,0,60
107,0.984,0.808,74.25742574257426,60.97560975609756,0,0,0,61
108,1.012,0.888,67.56756756756756,59.28853754940712,0,0,0,58
109,1.064,0.892,67.26457399103138,56.39097744360902,0,0,0,56
110,1.032,0.816,73.52941176470588,58.13953488372093,0,7,0,52
111,1.012,0.78,76.92307692307692,59.28853754940712,0,0,0,60
112,1.028,0.784,76.53061224489795,58.36575875486381,0,0,0,59
113,1.044,0.88,68.18181818181819,57.47126436781609,0,0,0,56
114,1.044,0.9,66.66666666666667,57.47126436781609,0,0,0,56
115,1.012,0.848,70.75471698113208,59.28853754940712,0,0,0,58
